epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.4685859240689798,0.30687536350946365,71385,48,33,8748,0.890343331588002,0.7552926284742972,0.0718564029276636,0.007447528774542992
2,0.3147530702215737,0.23970459301255864,73710,48,33,6423,0.9193282968060439,0.7737465938186406,0.07688910088212911,0.010096374483708124
3,0.28499997228848833,0.23565681253032517,73639,46,35,6494,0.9184680978382826,0.7885932846519205,0.08015905039353553,0.01059001512859304
4,0.273233940240551,0.20205524246312562,74858,48,33,5275,0.9336400129653177,0.7915622684694101,0.08067800245055556,0.01224717016143997
5,0.26266971239437537,0.20531301769135904,74595,46,35,5538,0.9303862168698731,0.7980952345737556,0.08454484542904211,0.012380615493455961
6,0.25740270755450384,0.1834037438020893,75372,49,32,4761,0.940035405290847,0.7989227169090647,0.08296463302598933,0.013130898645876079
7,0.2536078436845007,0.19834973144261367,74836,47,34,5297,0.9333782132794775,0.8059639429695046,0.08407402323267196,0.012564671101256468
8,0.2505225954552583,0.1556386616850356,76303,46,35,3830,0.9516792579848904,0.8088021257252411,0.09181439560434479,0.017739483020780537
9,0.2472650192848325,0.19196333317368236,74884,45,36,5249,0.9340015458648117,0.8118026928379718,0.09096287915168191,0.013417815877748788
10,0.24512735793894386,0.18729352069582605,75119,47,34,5014,0.9369062757124691,0.8118922815510571,0.08812688411688405,0.01325794501852213
11,0.23917973621041605,0.1683021198005078,75783,48,33,4350,0.945171665794001,0.8111974490557596,0.09030582335878945,0.014784946236559139
12,0.24027740053182248,0.16512403646217674,75870,48,33,4263,0.9462562644924826,0.8126902604666655,0.08948142232057721,0.015078821110349555
13,0.23699897193094527,0.16190658058929092,75964,48,33,4169,0.9474281297529109,0.813104926023449,0.09217902089627843,0.015409759514359096
14,0.23744721913098057,0.17724138883959784,75377,47,34,4756,0.9401226718527937,0.814171902175596,0.09150303053272697,0.013960172449189076
15,0.23483036867508603,0.15501481864232533,76137,48,33,3996,0.9495848604981674,0.8162930670969389,0.09301000050379205,0.01605839416058394
16,0.23379929669707503,0.16891996459900066,75639,47,34,4494,0.9433889345999451,0.8053218006545599,0.08583945240420514,0.014753742677370361
17,0.23219326915673122,0.17911057923870877,75255,46,35,4878,0.938614206996285,0.8097904517689958,0.086861826780878,0.014016820184221065
18,0.23333322271236695,0.16265106708614616,75817,48,33,4316,0.9455955319520283,0.8168412298504353,0.09443895203236961,0.014898419864559819
19,0.2323975633332406,0.15142025952876323,76208,48,33,3925,0.950469992769342,0.808342242133564,0.08845645965434314,0.016340678385739042
20,0.2353891751826455,0.16934923229810916,75581,47,34,4552,0.9426658688009575,0.8113930343889703,0.09036338198855512,0.014570387829440755
