epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.5169129836584893,0.3231992051010936,70617,37,44,9516,0.8809060762460419,0.7803560531234106,0.07035118929594361,0.009127683850223006
2,0.38385151356999425,0.2560942367008672,72994,43,38,7139,0.9104645074425911,0.7847190927798584,0.07143210831745307,0.010471204188481674
3,0.3602899232463646,0.26242827476007224,72295,40,41,7838,0.9017877178547385,0.8006034104104396,0.08028261040711174,0.010301507537688444
4,0.3498974892575751,0.22664960964332329,73725,43,38,6408,0.9195776298401775,0.7987099533445399,0.07949084030515316,0.011643940554619273
5,0.34212140416335884,0.23895800310888848,73176,42,39,6957,0.9127459047049143,0.7988120213108669,0.07679424315100833,0.01102161933022467
6,0.3399524154077686,0.1984161966010253,74857,46,35,5276,0.9336524796170245,0.7995443685983163,0.07924828059770382,0.01298219584569733
7,0.3354177045151572,0.24307018460971386,72803,43,38,7330,0.9080833769666143,0.8054069985192828,0.08232791379393484,0.010202711773392402
8,0.333845466779691,0.2498547945214414,72525,39,42,7608,0.9046675143989827,0.8059323596742638,0.08174967758077503,0.010865347303065579
9,0.3337126701063957,0.2118149429301862,74177,44,37,5956,0.9252000897598923,0.8062706860954774,0.08133330190410291,0.012183075403358577
10,0.3286601158032087,0.20406158501329938,74424,43,38,5709,0.9282918193831501,0.7998608178101436,0.07859103992698557,0.013040494166094716
11,0.3302795956525832,0.2046520548864081,74396,44,37,5737,0.9279302864836563,0.8015176312590195,0.0803345302631905,0.012638770281810416
12,0.3340091824437326,0.20754948967289075,74267,45,36,5866,0.9263096217617872,0.8082721426246149,0.08452783666906849,0.012034096607053318
13,0.32442100430577897,0.2895685446765567,70880,34,47,9253,0.88422220560002,0.8225587306781487,0.08915104564587296,0.010020253704295918
14,0.3260574315800454,0.2538352350025368,72413,37,44,7720,0.9032961827112475,0.8107354085561149,0.08583874370587291,0.011217335882727855
15,0.3302756733558612,0.20361318701381864,74375,43,38,5758,0.9276809534495225,0.7995822685526055,0.07873025292981281,0.012931767908797005
16,0.3224090336058584,0.20829003522910114,74246,44,37,5887,0.9260602887276536,0.8043405615941275,0.08300826419287809,0.012323064113238968
17,0.3219375772706396,0.2159340021872237,73841,42,39,6292,0.9210362280898596,0.8060962846798063,0.08222542985249984,0.012164691203992516
18,0.3226998774941518,0.2165457916463887,73757,39,42,6376,0.9200264293016182,0.7998708320257077,0.07962550839476283,0.012925065394676104
19,0.3206430167745237,0.23849291267608608,72915,38,43,7218,0.9095419752162964,0.8090101132792659,0.08408249679968778,0.011713429583219833
20,0.3224931050252224,0.2257405954304233,73492,41,40,6641,0.9166978332959334,0.8062306292332208,0.08456906442422188,0.011830819284235433
