epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.7606747103322309,0.7166330017116381,47348,7,72,32785,0.5911833640851742,0.8578611476142433,0.10684938820855894,0.0043721156181685695
2,0.6428403744046832,0.6324194993145512,54203,10,69,25930,0.6766069914725976,0.8694581650411255,0.11247257131221872,0.005291816857120945
3,0.6069918174028562,0.5984508458610212,56483,11,68,23650,0.7050191991223258,0.8754076095326961,0.11373351297139388,0.005715006093205026
4,0.5812210821110055,0.5689283607279887,58273,14,65,21860,0.7272976611978258,0.8750506081108513,0.11179306807495826,0.005908016724231958
5,0.5596965258559176,0.556995787886808,59146,13,66,20987,0.7381937864658654,0.87929244845634,0.11492441284718583,0.006246450880181715
6,0.5453003874160065,0.5700641984964068,58579,14,65,21554,0.7311125517378946,0.8748823751399375,0.11105230592115288,0.005991335606968384
7,0.538310229018995,0.5821348691393251,57990,12,67,22143,0.723794444721488,0.8800166400574235,0.11444685236111415,0.0060119341379155635
8,0.5262609258300683,0.5407503865273202,60251,14,65,19882,0.7519573131202314,0.8729514081573562,0.10934113176085261,0.006491560970738041
9,0.5183725870820112,0.5644401633052263,58959,14,65,21174,0.7358499975066075,0.875233847778701,0.1110348349666148,0.006098133033117553
10,0.5125665076181763,0.5581092755972747,59353,15,64,20780,0.7407495137884605,0.8737597162438965,0.11029186129957676,0.0061176695502557
