epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.7919977318070053,0.7411285439572215,45204,15,64,34929,0.5643544606792001,0.8136371225874958,0.08442031578197445,0.0036496350364963502
2,0.688246327675839,0.6357348269104381,53915,15,64,26218,0.6729541714456689,0.8249318735450415,0.09103362495294606,0.004855657979591063
3,0.6561548406903227,0.6969347539782934,50871,12,67,29262,0.6350421383334165,0.8334912195816228,0.0974245190788036,0.00455658324265506
4,0.6412844187059972,0.6393425310483771,54443,15,64,25690,0.6795367276716701,0.8376551830682755,0.09665680805660584,0.004954902643905083
5,0.6301014253694277,0.6468533216102732,54452,15,64,25681,0.6796489303346133,0.8274060039740891,0.09086829854228101,0.004956629491945477
6,0.6224784296112388,0.7019691087418124,51465,13,66,28668,0.6424350471251185,0.8413022843194076,0.099277640795595,0.0045812654010342554
7,0.6140422152076098,0.6799112373662698,52693,14,65,27440,0.6577320101730414,0.8365316553634645,0.09602870670548184,0.004712877030162413
8,0.610730279489582,0.7164662775865892,51337,14,65,28796,0.6408268089562659,0.8330975702262079,0.09606958810724005,0.004492052522460262
9,0.6076401095338597,0.5994984075974712,57216,18,61,22917,0.7140702139330773,0.8267523438486049,0.09272334743488947,0.005291234766014659
10,0.6014234874891575,0.5500027655110611,59634,18,61,20499,0.7442153293771505,0.8339148823309097,0.09772544284367743,0.005911139105576821
