epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.7820937463462432,0.7254428008735397,46399,10,69,33734,0.5793148157382936,0.8557042903514679,0.10489927583999192,0.004072959093323889
2,0.6838240532960163,0.6408969592582625,53531,11,68,26602,0.6682167256769561,0.8620565461818461,0.10422583846759823,0.005084302216905305
3,0.6497706930987838,0.6922434540524457,51146,12,67,28987,0.6384705530344587,0.8580014997219021,0.10300454608138018,0.004599594961040744
4,0.6344631592773463,0.6370712823923202,54480,12,67,25653,0.6800354061736399,0.8581016496782959,0.10297309520390703,0.005193999767432846
5,0.6226442305326176,0.6499649369317754,53887,12,67,26246,0.6726424973819378,0.8558599650865246,0.101662252328289,0.005077296150348591
6,0.6159554777924527,0.6422781214115775,54730,12,67,25403,0.6831521468109509,0.8576878597559405,0.10143693072292626,0.00524482367215938
7,0.6034298841564008,0.6583227943997785,53770,13,66,26363,0.6711713958011271,0.8532375842882726,0.09855417583457372,0.004979628791308284
8,0.6033934603695491,0.7034649318610321,51445,11,68,28688,0.642210641799232,0.8560178513348142,0.10101664842958075,0.004716490376278828
9,0.5997983262421182,0.6225783962035414,56299,12,67,23834,0.7027128110507156,0.8623435690064003,0.10358731141123448,0.005587989991659717
10,0.593339822824135,0.588896389454135,57622,15,64,22511,0.7191692016157184,0.8538161319464619,0.09876238980542945,0.005650216297342633
