epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.13310533737380945,0.11199489934980648,77268,43,36,2865,0.963746072906797,0.8687356320749664,0.10990503604213686,0.024161073825503355
2,0.027421332123135977,0.1364761953103862,77081,44,35,3052,0.961402283947539,0.8466700218481711,0.0992563786755152,0.022109917877447885
3,0.01687528769473436,0.20827078742513822,75339,46,33,4794,0.9396599012616567,0.8093864361890761,0.0805616990866608,0.013452914798206279
4,0.01308218130642935,0.11241266523652135,77741,52,27,2392,0.9695307435296464,0.8071158439600493,0.0634618680620683,0.021617293835068056
5,0.008695229770459778,0.18590443566778156,76109,49,30,4024,0.9492220615369271,0.8078160248460353,0.07515815084005117,0.014517299782240502
6,0.009073636099855656,0.1595205097895682,76712,50,29,3421,0.9567271729915723,0.8302785227154792,0.09044021276652878,0.01643525077925758
7,0.006529586765970796,0.16571205494944327,76904,47,32,3229,0.959158230688675,0.834620355052131,0.08576024005660207,0.019161676646706587
8,0.008485266987421533,0.22382270626860123,76023,45,34,4110,0.9481997706078891,0.7953201062726887,0.06843747270163351,0.01610229694529955
9,0.006427073800721065,0.144681839665381,77118,50,29,3015,0.9617887597865656,0.7901144410708336,0.06997366877566044,0.01857188600704451
10,0.006864903763081354,0.29748166768008594,74505,47,32,5628,0.9292499875330374,0.7745705833671774,0.06200517588875581,0.011151768600801533
11,0.005537879358938542,0.10583701053758661,78027,51,28,2106,0.9731087617812796,0.8468615546906433,0.09724680819403561,0.025305015815634886
12,0.00317708904420134,0.16987161182104168,76797,50,29,3336,0.9577868648082581,0.8206753424330784,0.07706243749513267,0.01684088269454123
13,0.0036376715954917855,0.1906342997482225,76630,47,32,3503,0.955742282950182,0.8176090003533683,0.07744615083752372,0.01770890979524073
14,0.004047027899599351,0.14956355892311374,77591,47,32,2542,0.967723033960006,0.8598867357701366,0.09890304204702716,0.02412363362231436
15,0.003010351481237142,0.18003951350840697,77327,51,28,2806,0.9643818879968085,0.8458875410768838,0.09577659419695765,0.01922416752488843
16,0.002752880733611857,0.317749653856824,74697,46,33,5436,0.9316561113050417,0.7972552593338891,0.06846233642897794,0.011896178803172314
17,0.00410480647995053,0.15047264961666149,77452,56,23,2681,0.9658779235027178,0.8191772001831764,0.08234973912831939,0.01652892561983471
18,0.0031250025161933944,0.12813112660087272,77643,58,21,2490,0.968234179424525,0.7840980983039747,0.06828871684369037,0.016216216216216217
19,0.0028564928877803384,0.2109899059721428,75995,47,32,4138,0.9478257617314118,0.8179348036421097,0.07922837775868502,0.015062367615909626
20,0.0038036861620150144,0.2087292080511121,76719,44,35,3414,0.9568892435047125,0.8346627687166288,0.08316379714926463,0.01984126984126984
