epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.11427805934100403,1.5345698300962145,50337,21,58,29796,0.6282725776691767,0.7175538230982131,0.050280048659609715,0.0038753215514649385
2,0.022114609057040806,1.0219488198493345,59352,24,55,20781,0.7406248441629681,0.7823001380458152,0.06775172983775231,0.005259383217786278
3,0.02053003135498568,0.5191688239396091,69496,36,43,10637,0.8669401087119134,0.7831723430682567,0.07328455682933449,0.007993307928246119
4,0.012540166443915748,1.2835224732427426,61799,25,54,18334,0.7711190345584202,0.8002683671307844,0.08349429200536385,0.005848269886825148
5,0.011761156505821699,1.8627643972027423,54504,21,58,25629,0.6802224106118785,0.7658635398397001,0.07493529349229057,0.004502056974307227
6,0.010716115780141243,1.639192406363614,56743,25,54,23390,0.70808607190944,0.760427956244263,0.06396985265161223,0.00459125111592909
7,0.007852285930586398,0.7868232129443847,65280,31,48,14853,0.8144417294170448,0.7640358821181304,0.05667836715131977,0.006408544726301735
8,0.0075932239201672415,1.270306200622793,56883,29,50,23250,0.7097815788161372,0.7332951373405004,0.05381764841267846,0.004277342914581462
9,0.0078526308795665,1.9450112017055392,64491,30,49,15642,0.8046177629282402,0.7827129801767853,0.07226620237525996,0.0062143310082435005
10,0.005856453430237318,1.3006352523780849,71428,34,45,8705,0.8910512142821523,0.8026583810743753,0.073392004779396,0.010193679918450561
11,0.005633023558225324,0.6094403280393801,69484,33,46,10649,0.8668279060489702,0.7761034779678785,0.06045256722723785,0.008539075552255429
12,0.00623174340874187,0.9094943793063531,63999,34,45,16134,0.7984341495038149,0.7571031040641768,0.06227747635378964,0.005535736252921639
13,0.004906146382015687,0.5395025255236846,67408,34,45,12725,0.8409340248341894,0.7855297371916656,0.07691080666998706,0.007004436142890497
14,0.005149836082034726,1.0173963363635024,62182,28,51,17951,0.7758564803271331,0.7738874627261292,0.07021345999617405,0.005641280902604944
15,0.0015214631642141367,1.2129109444739734,53749,23,56,26384,0.6707849199621004,0.7454361870226194,0.05876663591083618,0.0042233870055431956
16,0.0072436614605994164,0.8724332473147024,62897,38,41,17236,0.7846456889243505,0.7202897019148703,0.051452845719939945,0.00472459091956672
17,0.0034086084262025754,2.3304600823890396,55271,22,57,24862,0.6897721039245998,0.7489426992182457,0.06600675111803839,0.004560364829186335
18,0.003924642822681509,2.1857233503771645,63937,34,45,16196,0.7976611978257617,0.7506556741821785,0.06101678743898393,0.0055147058823529415
19,0.004063615339204176,1.3542861416010774,61204,33,46,18929,0.7636014561412258,0.7284004266956816,0.06240634438916186,0.004828382491865225
20,0.003057809061576694,3.985861861865693,55600,31,48,24533,0.6937615319403581,0.7062443813741932,0.05966353089886796,0.0038929440389294406
